
##### mobsup alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.329 0.190 | 0.006 0.023 0.044 | 0.09 | 0.00 0.00
   GLOBAL        0.318 0.054 | 0.003 0.010 0.047 | 0.09 | -0.02 -0.27
   CLEAN-K       0.890 0.646 | 0.198 0.457 0.158 | 0.29 | 1.11 0.91
   PEER-TRIM     0.481 0.230 | 0.029 0.105 0.044 | 0.24 | 0.30 0.08
   LAB-LOCAL     0.634 0.253 | 0.095 0.305 0.091 | 0.20 | 0.60 0.12
   LAB-POOL      0.781 0.610 | 0.076 0.140 0.052 | 0.50 | 0.89 0.83
   LAB-EB        0.776 0.596 | 0.078 0.155 0.055 | 0.49 | 0.89 0.81
   PEER+LAB      0.556 0.280 | 0.032 0.105 0.042 | 0.33 | 0.45 0.18
   LAB-EB-ALLOC  0.785 0.600 | 0.091 0.193 0.067 | 0.43 | 0.90 0.81
   LAB-EB-V      0.780 0.601 | 0.080 0.158 0.056 | 0.49 | 0.89 0.82
   LAB-EB-TAU    0.755 0.571 | 0.071 0.145 0.052 | 0.49 | 0.84 0.76
   LAB-EB-VTAU   0.759 0.577 | 0.073 0.148 0.053 | 0.49 | 0.85 0.77
   ORACLE-TRUE   0.834 0.693 | 0.055 0.085 0.016 | 0.97 | 1.00 1.00
-- k=10  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.329 0.188 | 0.006 0.023 0.044 | 0.09 | 0.00 0.00
   GLOBAL        0.319 0.055 | 0.003 0.010 0.047 | 0.09 | -0.02 -0.27
   CLEAN-K       0.831 0.524 | 0.108 0.262 0.077 | 0.46 | 1.00 0.67
   PEER-TRIM     0.481 0.230 | 0.028 0.103 0.044 | 0.25 | 0.30 0.08
   LAB-LOCAL     0.712 0.349 | 0.083 0.233 0.069 | 0.34 | 0.76 0.32
   LAB-POOL      0.802 0.625 | 0.076 0.141 0.047 | 0.56 | 0.94 0.87
   LAB-EB        0.803 0.624 | 0.076 0.143 0.047 | 0.56 | 0.94 0.86
   PEER+LAB      0.611 0.339 | 0.035 0.104 0.039 | 0.41 | 0.56 0.30
   LAB-EB-ALLOC  0.818 0.636 | 0.087 0.171 0.056 | 0.54 | 0.97 0.89
   LAB-EB-V      0.812 0.635 | 0.081 0.150 0.050 | 0.55 | 0.96 0.89
   LAB-EB-TAU    0.782 0.598 | 0.068 0.132 0.043 | 0.58 | 0.90 0.81
   LAB-EB-VTAU   0.792 0.610 | 0.073 0.138 0.046 | 0.57 | 0.92 0.84
   ORACLE-TRUE   0.833 0.691 | 0.055 0.085 0.016 | 0.98 | 1.00 1.00
-- k=20  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.328 0.191 | 0.006 0.023 0.044 | 0.09 | 0.00 0.00
   GLOBAL        0.318 0.054 | 0.003 0.010 0.047 | 0.08 | -0.02 -0.27
   CLEAN-K       0.763 0.415 | 0.058 0.143 0.040 | 0.60 | 0.86 0.45
   PEER-TRIM     0.481 0.230 | 0.029 0.104 0.044 | 0.24 | 0.30 0.08
   LAB-LOCAL     0.764 0.464 | 0.074 0.180 0.052 | 0.47 | 0.86 0.55
   LAB-POOL      0.817 0.635 | 0.074 0.140 0.042 | 0.64 | 0.97 0.89
   LAB-EB        0.824 0.652 | 0.072 0.129 0.039 | 0.67 | 0.98 0.92
   PEER+LAB      0.671 0.423 | 0.039 0.104 0.036 | 0.51 | 0.68 0.46
   LAB-EB-ALLOC  0.832 0.663 | 0.081 0.148 0.046 | 0.62 | 1.00 0.94
   LAB-EB-V      0.843 0.680 | 0.082 0.142 0.045 | 0.62 | 1.02 0.97
   LAB-EB-TAU    0.805 0.626 | 0.064 0.119 0.035 | 0.70 | 0.94 0.87
   LAB-EB-VTAU   0.825 0.654 | 0.074 0.131 0.040 | 0.66 | 0.98 0.92
   ORACLE-TRUE   0.834 0.693 | 0.055 0.085 0.016 | 0.97 | 1.00 1.00
-- k=50  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.328 0.190 | 0.006 0.023 0.044 | 0.09 | 0.00 0.00
   GLOBAL        0.318 0.054 | 0.003 0.010 0.047 | 0.09 | -0.02 -0.27
   CLEAN-K       0.829 0.619 | 0.065 0.124 0.031 | 0.77 | 0.99 0.85
   PEER-TRIM     0.481 0.232 | 0.028 0.105 0.044 | 0.25 | 0.30 0.08
   LAB-LOCAL     0.817 0.598 | 0.068 0.137 0.038 | 0.67 | 0.97 0.81
   LAB-POOL      0.823 0.640 | 0.074 0.140 0.039 | 0.69 | 0.98 0.90
   LAB-EB        0.838 0.681 | 0.069 0.118 0.032 | 0.76 | 1.01 0.98
   PEER+LAB      0.757 0.558 | 0.048 0.103 0.031 | 0.69 | 0.85 0.73
   LAB-EB-ALLOC  0.849 0.700 | 0.077 0.130 0.037 | 0.72 | 1.03 1.02
   LAB-EB-V      0.879 0.757 | 0.096 0.150 0.050 | 0.58 | 1.09 1.13
   LAB-EB-TAU    0.825 0.661 | 0.062 0.108 0.028 | 0.80 | 0.98 0.94
   LAB-EB-VTAU   0.869 0.737 | 0.087 0.139 0.044 | 0.64 | 1.07 1.09
   ORACLE-TRUE   0.834 0.692 | 0.056 0.086 0.016 | 0.97 | 1.00 1.00
-- clean (eps=0) k=10: harm vs LOCAL: dTPR dwFPR dfdev
   GLOBAL        -0.025 +0.088 +0.033
   CLEAN-K       -0.009 +0.153 +0.051
   PEER-TRIM     +0.048 +0.113 +0.032
   LAB-POOL      +0.000 +0.000 +0.000
   LAB-EB        +0.000 +0.000 +0.000
   PEER+LAB      +0.039 +0.074 +0.022

##### nbaiot alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.372 0.235 | 0.003 0.016 0.047 | 0.21 | 0.00 0.00
   GLOBAL        0.401 0.297 | 0.001 0.004 0.049 | 0.12 | 0.07 0.17
   CLEAN-K       0.795 0.592 | 0.188 0.473 0.149 | 0.37 | 1.06 0.99
   PEER-TRIM     0.456 0.264 | 0.013 0.077 0.049 | 0.24 | 0.21 0.08
   LAB-LOCAL     0.602 0.280 | 0.092 0.324 0.094 | 0.28 | 0.58 0.13
   LAB-POOL      0.727 0.538 | 0.076 0.131 0.051 | 0.58 | 0.89 0.85
   LAB-EB        0.723 0.532 | 0.076 0.145 0.053 | 0.57 | 0.88 0.83
   PEER+LAB      0.538 0.308 | 0.018 0.084 0.044 | 0.40 | 0.42 0.20
   LAB-EB-ALLOC  0.733 0.544 | 0.087 0.176 0.063 | 0.54 | 0.91 0.86
   LAB-EB-V      0.725 0.534 | 0.079 0.147 0.054 | 0.57 | 0.89 0.83
   LAB-EB-TAU    0.710 0.518 | 0.063 0.125 0.045 | 0.62 | 0.85 0.79
